,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
608,alt z,0.562,0.329,3.0,-8.556,0.0,0.162,0.502,0.0,0.562,0.502,148.524
609,pop,0.745,0.593,8.0,-6.35,1.0,0.0524,0.00522,5.06e-06,0.123,0.17,111.001
610,pop,0.793,0.615,10.0,-5.044,0.0,0.0616,0.442,0.0,0.0928,0.332,110.978
611,pop,0.754,0.433,1.0,-7.704,1.0,0.0637,0.216,0.0,0.0936,0.339,109.954
612,pop,0.723,0.626,10.0,-6.041,0.0,0.0447,0.131,0.0,0.11,0.238,112.074
617,chill pop,0.524,0.391,4.0,-9.021,1.0,0.041,0.789,0.0,0.0869,0.143,148.009
620,anime lo-fi,0.716,0.186,8.0,-15.668,1.0,0.0542,0.992,0.906,0.372,0.0363,115.067
621,pop,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875
628,pop,0.793,0.531,9.0,-8.501,0.0,0.127,0.0356,1.02e-05,0.0905,0.337,129.951
632,alt z,0.415,0.45,6.0,-8.529,0.0,0.0599,0.578,2.82e-05,0.155,0.305,93.17
633,alt z,0.415,0.45,6.0,-8.529,0.0,0.0599,0.578,2.82e-05,0.155,0.305,93.17
634,singer-songwriter pop,0.449,0.612,1.0,-7.534,1.0,0.179,0.379,7.28e-05,0.0795,0.296,188.73
635,singer-songwriter pop,0.76,0.371,6.0,-8.964,1.0,0.0531,0.00772,0.0,0.0785,0.653,138.023
637,alt z,0.57,0.746,10.0,-6.464,1.0,0.104,0.144,7.31e-06,0.0706,0.27,158.061
640,alt z,0.519,0.383,7.0,-7.174,1.0,0.0495,0.572,0.0,0.124,0.157,144.565
641,alt z,0.74,0.415,0.0,-8.914,1.0,0.0707,0.242,0.000156,0.319,0.156,136.029
645,alt z,0.548,0.363,5.0,-7.766,1.0,0.433,0.047,0.0,0.066,0.484,170.407
649,anime lo-fi,0.689,0.0204,10.0,-28.613,1.0,0.0377,0.986,0.923,0.297,0.356,117.975
652,pop,0.809,0.547,9.0,-7.305,1.0,0.0614,0.452,0.0,0.054,0.718,94.992
653,pop,0.63,0.382,3.0,-5.535,0.0,0.0558,0.471,0.0,0.176,0.555,97.706
657,pop,0.744,0.732,8.0,-3.036,1.0,0.0522,0.0264,0.0,0.352,0.387,121.086
659,pop,0.71,0.778,4.0,-5.336,0.0,0.0317,0.0466,0.0,0.0763,0.382,101.024
660,alt z,0.649,0.478,0.0,-8.834,1.0,0.156,0.658,0.0,0.131,0.468,139.859
666,alt z,0.626,0.573,1.0,-7.825,1.0,0.115,0.41,0.0,0.219,0.68,149.993
667,pop,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928
670,pop,0.704,0.785,8.0,-3.588,1.0,0.0381,0.0204,0.0,0.153,0.765,125.077
671,singer-songwriter pop,0.798,0.722,11.0,-4.037,1.0,0.0494,0.099,0.0,0.242,0.69,123.019
672,pop,0.559,0.334,11.0,-10.733,1.0,0.0376,0.87,0.0,0.114,0.211,122.079
675,lo-fi study,0.629,0.171,2.0,-17.328,1.0,0.0556,0.885,0.969,0.101,0.264,88.011
677,alt z,0.909,0.392,6.0,-6.221,0.0,0.0652,0.278,1.77e-06,0.106,0.61,127.052
679,singer-songwriter pop,0.681,0.396,9.0,-9.446,0.0,0.0615,0.331,0.0,0.168,0.191,121.964
680,alt z,0.543,0.465,8.0,-8.914,1.0,0.0554,0.337,0.000543,0.142,0.158,143.121
681,pop,0.782,0.559,6.0,-7.106,0.0,0.0767,0.125,0.0,0.385,0.685,129.992
682,pop,0.359,0.361,3.0,-10.194,0.0,0.0552,0.365,0.0,0.111,0.28,85.898
686,alt z,0.623,0.683,7.0,-3.512,1.0,0.0437,0.0995,0.0,0.372,0.747,90.021
688,alt z,0.347,0.209,11.0,-11.152,1.0,0.0273,0.893,0.00287,0.138,0.0735,82.878
695,alt z,0.535,0.359,2.0,-9.343,1.0,0.0607,0.771,0.0,0.111,0.488,154.163
696,pop,0.666,0.704,1.0,-5.737,0.0,0.0366,0.0106,1.11e-05,0.348,0.418,139.972
699,alt z,0.492,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.101,0.18,92.6
703,dance pop,0.668,0.726,9.0,-7.512,1.0,0.0468,0.0387,0.0,0.134,0.453,124.075
704,singer-songwriter pop,0.604,0.58,7.0,-7.169,1.0,0.31,0.464,0.0,0.16,0.419,95.087
707,alt z,0.675,0.695,7.0,-7.859,0.0,0.0753,0.00383,2.95e-05,0.0637,0.662,92.025
716,pop,0.63,0.5,1.0,-8.755,0.0,0.0611,0.611,4.04e-05,0.114,0.315,144.871
717,pop,0.58,0.694,1.0,-5.45,0.0,0.221,0.481,1.18e-06,0.109,0.389,139.751
718,pop,0.666,0.628,8.0,-5.613,1.0,0.0623,0.144,0.0,0.189,0.767,82.992
719,alt z,0.543,0.471,11.0,-9.904,1.0,0.0438,0.616,6.77e-05,0.161,0.0775,91.921
720,singer-songwriter pop,0.958,0.376,8.0,-7.063,1.0,0.0523,0.171,0.0,0.13,0.331,107.964
721,singer-songwriter pop,0.955,0.369,8.0,-7.614,1.0,0.0502,0.223,0.0,0.14,0.343,107.98
724,singer-songwriter pop,0.261,0.277,1.0,-8.143,0.0,0.031,0.572,1.4e-06,0.0859,0.0617,179.077
725,singer-songwriter pop,0.261,0.277,1.0,-8.143,0.0,0.031,0.572,1.4e-06,0.0859,0.0617,179.077
